Nama,Tanggal_Lahir,Tinggi_Badan(cm),Username,Password,Role,Saldo,-1
Radhit,12/09/2001,140,radhit,bd264e1d88f7099227f95d6d9ada22a5120f76a30c39c91087d81f2faee95e68,pemain,118750
Aurel,19/09/2012,170,aurel,bd264e1d88f7099227f95d6d9ada22a5120f76a30c39c91087d81f2faee95e68,pemain,10000
Zidan,18/08/2001,169,zidan,bd264e1d88f7099227f95d6d9ada22a5120f76a30c39c91087d81f2faee95e68,admin,0
Surya,18/09/2001,171,surya,bd264e1d88f7099227f95d6d9ada22a5120f76a30c39c91087d81f2faee95e68,golden account,140500
Gisel,17/09/2009,150,gisel,bd264e1d88f7099227f95d6d9ada22a5120f76a30c39c91087d81f2faee95e68,pemain,28750
Irfan,18/09/2001,172,irfan,bd264e1d88f7099227f95d6d9ada22a5120f76a30c39c91087d81f2faee95e68,pemain,25000
Aldi,19/09/2001,178,aldi,bd264e1d88f7099227f95d6d9ada22a5120f76a30c39c91087d81f2faee95e68,golden account,35000
Andi,18/09/2001,171,andi,bd264e1d88f7099227f95d6d9ada22a5120f76a30c39c91087d81f2faee95e68,golden account,150000
Bayu,19/09/2001,178,bayu,bd264e1d88f7099227f95d6d9ada22a5120f76a30c39c91087d81f2faee95e68,golden account,29250
Neymar,19/09/1998,160,neymar,bd264e1d88f7099227f95d6d9ada22a5120f76a30c39c91087d81f2faee95e68,golden account,63750
-1














































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































